,UID,iso2,first_case_day,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,2020-05-03 00:00:00,2020-05-04 00:00:00,2020-05-05 00:00:00,2020-05-06 00:00:00,2020-05-07 00:00:00,2020-05-08 00:00:00,2020-05-09 00:00:00,2020-05-10 00:00:00,2020-05-11 00:00:00,2020-05-12 00:00:00
0,16.0,AS,102,ASM,16,60.0,,American Samoa,US,-14.271,-169.132,"American Samoa, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,316.0,GU,54,GUM,316,66.0,,Guam,US,13.4443,145.7937,"Guam, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,13,15,16,28,30,33,38,46,52,56,57,59,70,78,83,85,94,113,114,122,122,129,131,134,134,134,134,136,136,137,137,137,137,137,137,140,142,142,142,142,142,142,146,146,146,141.84549233630509,141.87527336013702,141.89959776419877,141.9194639466328,141.93568809174258,141.94893727066196,141.9597565806209,141.9685913791521,141.97580548823922,141.9816960911997
2,580.0,MP,69,MNP,580,69.0,,Northern Mariana Islands,US,15.0979,146.6739,"Northern Mariana Islands, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,7,9,9,9,9,9,12,12,12,12,12,12,12,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
3,630.0,PR,54,PRI,630,72.0,,Puerto Rico,US,18.2208,-65.5901,"Puerto Rico, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,15,22,24,32,40,52,65,80,101,128,175,240,287,317,317,453,476,514,574,621,684,726,789,898,904,924,975,1044,1069,1119,1214,1253,1299,1253,1417,1277,1308,1372,1390,1401,1434,1540,1576,1758,1408.4701816203162,1412.2345780197247,1415.4086972110672,1418.0830070476766,1420.3347263258586,1422.2295813140665,1423.823385908918,1425.1634442922098,1426.2897831007454,1427.2362249009675
4,850.0,VI,54,VIR,850,78.0,,Virgin Islands,US,18.3358,-63.8963,"Virgin Islands, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,7,7,8,18,18,18,20,23,24,31,31,31,31,38,41,43,44,44,46,46,51,52,52,52,52,52,52,52,54,54,54,54,55,55,55,56,58,58,58,58,67,67,67,55.40701631505403,55.42013116108691,55.430920070413556,55.439794871584326,55.447094695143534,55.45309873534443,55.4580367947631,55.46209798944623,55.46543793038493,55.468184644563046
5,84001001.0,US,62,USA,840,1001.0,Autauga,Alabama,US,32.53952745,-85.64408227,"Autauga, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,7,7,7,7,7,8,9,11,13,13,13,13,13,13,16,18,20,20,20,24,25,27,27,26,27,29,31,33,34,37,37,38,40,41,44,45,43,46,48.17068331406067,49.17068331406067,50.17068331406067,51.17068331406067,52.17068331406067,53.17068331406067,54.17068331406067,55.17068331406067,56.17068331406067,57.17068331406067
6,84001003.0,US,53,USA,840,1003.0,Baldwin,Alabama,US,30.72774991,-86.72207058,"Baldwin, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,5,5,6,6,11,16,19,20,21,25,29,30,30,39,43,45,57,60,67,72,73,88,92,102,104,110,113,118,124,133,144,148,148,162,169,172,175,175,176,182,181.49812308681047,183.6894853764334,185.6416331432392,187.37598650140316,188.91314855137057,190.27264267288436,191.47274248533574,192.53037681966148,193.46109347073025,194.27906746330382
7,84001005.0,US,72,USA,840,1005.0,Barbour,Alabama,US,31.868263,-84.3871286,"Barbour, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,5,10,10,11,11,12,13,15,16,19,21,23,29,30,31,33,33,34,36,38,38,40,43,44,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
8,84001007.0,US,68,USA,840,1007.0,Bibb,Alabama,US,32.99642064,-86.12511459999996,"Bibb, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,5,5,5,6,8,9,10,10,12,14,17,18,18,19,23,25,27,29,33,33,35,34,35,35,39,43,43,43,43,43,43,48.17068331406067,49.17068331406067,50.17068331406067,51.17068331406067,52.17068331406067,53.17068331406067,54.17068331406067,55.17068331406067,56.17068331406067,57.17068331406067
9,84001009.0,US,63,USA,840,1009.0,Blount,Alabama,US,33.98210918,-85.56790593,"Blount, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,6,6,6,6,6,7,10,11,11,11,11,11,12,13,13,14,15,17,18,19,21,21,22,23,27,30,32,32,32,35,35,35,37,38,40,41,48.17068331406067,49.17068331406067,50.17068331406067,51.17068331406067,52.17068331406067,53.17068331406067,54.17068331406067,55.17068331406067,56.17068331406067,57.17068331406067
10,84001011.0,US,64,USA,840,1011.0,Bullock,Alabama,US,32.10030533,-84.71265535,"Bullock, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,5,5,5,6,9,9,9,9,10,10,12,12,12,13,13,13,13,13,13,13,14,15,15,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
11,84001013.0,US,63,USA,840,1013.0,Butler,Alabama,US,31.75300095,-85.68057478,"Butler, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,7,8,9,9,10,12,17,14,15,15,16,18,20,22,22,33,35,46,51,54,66,93,48.931528862676544,53.18157861331527,57.8007752780755,62.82118188026311,68.27764634378607,74.20804338149135,80.65353739321561,87.65886819839366,95.27266158656694,103.54776684140258
12,84001015.0,US,56,USA,840,1015.0,Calhoun,Alabama,US,33.77483727,-84.82630386,"Calhoun, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,9,10,12,13,19,22,24,35,42,50,54,55,58,60,62,63,63,63,64,67,72,81,84,86,89,90,90,92,91,93,94,95,94,99,89.6701132313534,89.81781476850345,89.93962475460786,90.04002864917045,90.1227520648654,90.19088388675566,90.2469812910813,90.2931586930427,90.3311626604159,90.36243472396652
